Id,String
,
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Character1Name,レン
Character2Name,エンジェリックバスター
Character3Name,メルセデス
Character4Name,カーリー
Character1Desc,緋眼の旅人
Character2Desc,戦場のアイドル
Character3Desc,エルフの王
Character4Desc,復讐の風
Attack,攻撃力
Name,名前
Desc,説明
Type,タイプ
Value,値
Cost,コスト
Weapon,武器
Equip,装備
Consumable,消耗品
CreationTimeAscending,日付 (昇順)
CreationTimeDescending,日付 (降順)
NameAscending,名前 (昇順)
NameDescending,名前 (降順)
None,無
ValueAscending,値 (昇順)
ValueDescending,値 (降順)
CostAscending,コスト (昇順)
CostDescending,コスト (降順)
NotConsumable,消耗品以外
Save,セーブ
Load,ロード
Add,アイテム追加
Remove,アイテム削除
