Id,String
,
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활
Item4Name,물약
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Character1Name,렌
Character2Name,엔젤릭버스터
Character3Name,메르세데스
Character4Name,칼리
Character1Desc,붉은 눈의 유랑자
Character2Desc,전장의 아이돌
Character3Desc,엘프의 왕
Character4Desc,복수의 바람
Attack,공격력
Name,이름
Desc,설명
Type,타입
Value,벨류
Cost,코스트
Weapon,무기
Equip,장비
Consumable,소모품
CreationTimeAscending,날짜 (오름차순)
CreationTimeDescending,날짜 (내림차순)
NameAscending,이름 (오름차순)
NameDescending,이름 (내림차순)
None,없음
ValueAscending,벨류 (오름차순)
ValueDescending,벨류 (내림차순)
CostAscending,코스트 (오름차순)
CostDescending,코스트 (내림차순)
NotConsumable,소모품 제외
Save,저장
Load,불러오기
Add,아이템 추가
Remove,아이템 삭제
AddCharacter,캐릭터 추가
RemoveCharacter,캐릭터 삭제
